Résultats moyennés sur 10 simulations, avec N = 55
================================================================================
                                                                                        RMSE moyen      RMSE std     RMV moyen  Temps moyen (s)
KETKF-hyperbolique (infl=1.001, c=0.001, reg=0.001, sigma=1.0, deg=2, trunc=True)     9.032611e-02  3.492735e-02  1.062834e-03        11.367938
KETKF-lap (infl=1.001, c=1.0, reg=0.01, sigma=1.0, deg=2, trunc=True)                 9.032892e-02  3.118878e-02  1.065456e-03        11.450467
KETKF-linear (infl=1.01, c=1.0, reg=0.0001, sigma=1.0, deg=2, trunc=True)             9.033740e-02  3.527592e-02  1.083169e-03        11.101052
KETKF-linear (infl=1.001, c=1.0, reg=0.01, sigma=1.0, deg=2, trunc=True)              9.074126e-02  3.461581e-02  1.067489e-03        11.166148
KETKF-hyperbolique (infl=1.05, c=0.0001, reg=0.001, sigma=1.0, deg=2, trunc=True)     9.083350e-02  3.586993e-02  1.175245e-03        11.381949
KETKF-lap (infl=1.01, c=1.0, reg=0.001, sigma=1.0, deg=2, trunc=True)                 9.084031e-02  3.455384e-02  1.088121e-03        11.456859
KETKF-lap (infl=1.001, c=1.0, reg=0.0001, sigma=1.0, deg=2, trunc=True)               9.122357e-02  3.597455e-02  1.066959e-03        11.568001
KETKF-hyperbolique (infl=1.001, c=0.0001, reg=0.0001, sigma=1.0, deg=2, trunc=True)   9.131099e-02  3.701871e-02  1.064831e-03        11.340779
KETKF-hyperbolique (infl=1.01, c=0.01, reg=0.001, sigma=1.0, deg=2, trunc=True)       9.146398e-02  3.794962e-02  1.089788e-03        11.404178
KETKF-sigmoid (infl=1.001, c=0.01, reg=0.0001, sigma=1.0, deg=2, log_tr=True)         9.163734e-02  3.281787e-02  5.358559e-02        11.168514
KETKF-hyperbolique (infl=1.05, c=0.01, reg=0.0001, sigma=1.0, deg=2, trunc=True)      9.253346e-02  3.668822e-02  1.182747e-03        11.399740
KETKF-hyperbolique (infl=1.05, c=0.001, reg=0.0001, sigma=1.0, deg=2, trunc=True)     9.390389e-02  3.766694e-02  1.174584e-03        11.360980
KETKF-hyperbolique (infl=1.05, c=0.001, reg=0.001, sigma=1.0, deg=2, trunc=True)      9.430409e-02  3.393493e-02  1.171529e-03        11.468569
KETKF-linear (infl=1.05, c=1.0, reg=0.01, sigma=1.0, deg=2, trunc=True)               9.455604e-02  3.155585e-02  1.178373e-03        11.130671
KETKF-linear (infl=1.05, c=1.0, reg=0.0001, sigma=1.0, deg=2, trunc=True)             9.470741e-02  3.447485e-02  1.174083e-03        11.116256
KETKF-hyperbolique (infl=1.01, c=0.001, reg=0.001, sigma=1.0, deg=2, trunc=True)      9.536913e-02  3.794958e-02  1.085024e-03        11.398050
KETKF-lap (infl=1.05, c=1.0, reg=0.0001, sigma=1.0, deg=2, trunc=True)                9.551087e-02  3.746030e-02  1.172585e-03        11.533849
KETKF-hyperbolique (infl=1.05, c=0.01, reg=0.001, sigma=1.0, deg=2, trunc=True)       9.628542e-02  3.705430e-02  1.173722e-03        11.496328
KETKF-lap (infl=1.05, c=1.0, reg=0.001, sigma=1.0, deg=2, trunc=True)                 9.653808e-02  3.645644e-02  1.171084e-03        11.559607
KETKF-hyperbolique (infl=1.01, c=0.001, reg=0.0001, sigma=1.0, deg=2, log_tr=True)    1.024682e-01  1.441631e-01  1.781837e-01        11.291442
